"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.710679415E2,6.503721000E1,2.555358333E1,1.112165528E1,1.636816621E0,2.331399994E2,1.700000048E0,1.169999981E1
1.720679415E2,6.503720333E1,2.555356833E1,1.172165880E1,1.616742492E0,2.236999969E2,1.700000048E0,1.160000038E1
1.730679415E2,6.503719333E1,2.555355167E1,1.192166353E1,1.628066421E0,2.212400055E2,1.700000048E0,1.160000038E1
1.740679415E2,6.503717333E1,2.555352500E1,1.152167233E1,1.659979224E0,2.248899994E2,1.700000048E0,1.169999981E1
1.750679415E2,6.503715833E1,2.555349667E1,1.142167974E1,1.671817780E0,2.326399994E2,1.700000048E0,1.169999981E1
1.760679415E2,6.503715500E1,2.555347167E1,1.132168320E1,1.668729424E0,2.403000031E2,1.700000048E0,1.189999962E1
1.770679415E2,6.503714667E1,2.555344500E1,1.142168837E1,1.715569139E0,2.268399963E2,1.700000048E0,1.180000019E1
1.780679415E2,6.503713833E1,2.555341333E1,1.152169403E1,1.693950891E0,2.335899963E2,1.700000048E0,1.169999981E1
1.790679415E2,6.503712500E1,2.555338833E1,1.182170060E1,1.678509116E0,2.306499939E2,1.700000048E0,1.180000019E1
1.800679415E2,6.503711333E1,2.555335667E1,1.182170729E1,1.663067460E0,2.306300049E2,1.700000048E0,1.210000038E1
1.810679415E2,6.503710333E1,2.555333167E1,1.192171283E1,1.681597471E0,2.193899994E2,1.700000048E0,1.180000019E1
1.820679415E2,6.503709000E1,2.555331000E1,1.242171908E1,1.720201612E0,2.176999969E2,1.700000048E0,1.180000019E1
1.830679415E2,6.503708167E1,2.555327500E1,1.282172506E1,1.692921400E0,2.261199951E2,1.700000048E0,1.150000000E1
1.840679415E2,6.503707333E1,2.555325167E1,1.312172991E1,1.665126443E0,2.328699951E2,1.700000048E0,1.180000019E1
1.850679415E2,6.503706167E1,2.555322500E1,1.302173612E1,1.652773023E0,2.397700043E2,1.700000048E0,1.160000038E1
1.860679415E2,6.503705500E1,2.555319833E1,1.292174078E1,1.651228905E0,2.314499969E2,1.700000048E0,1.100000000E1
1.870679415E2,6.503704667E1,2.555317167E1,1.262174596E1,1.618286610E0,2.359499969E2,1.600000024E0,1.080000019E1
1.880679415E2,6.503703667E1,2.555314833E1,1.222175133E1,1.609021664E0,2.227599945E2,1.700000048E0,1.100000000E1
1.890679415E2,6.503702333E1,2.555312167E1,1.202175807E1,1.638360858E0,2.117400055E2,1.700000048E0,1.089999962E1
1.900679415E2,6.503700833E1,2.555309833E1,1.242176500E1,1.641963840E0,2.226900024E2,1.700000048E0,1.089999962E1
1.910679415E2,6.503699167E1,2.555307833E1,1.242177214E1,1.635787249E0,2.113399963E2,1.700000048E0,1.110000038E1
1.920679415E2,6.503697667E1,2.555306000E1,1.262177859E1,1.578653097E0,2.175599976E2,1.700000048E0,1.100000000E1
1.930679415E2,6.503696333E1,2.555304333E1,1.282178436E1,1.582770824E0,2.208999939E2,1.700000048E0,1.089999962E1
1.940679415E2,6.503695500E1,2.555300833E1,1.282179035E1,1.595638871E0,2.429400024E2,1.700000048E0,1.100000000E1
1.950679415E2,6.503694667E1,2.555297333E1,1.302179633E1,1.599756718E0,2.382700043E2,1.700000048E0,1.089999962E1
